id,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22
sid0051,2,2,3,4,1,2,3,4,1,3,3,1,2,3,3,4,1,2,4,4,2,3
sid0052,2,2,4,4,1,2,3,4,1,3,3,4,2,3,3,4,1,2,3,4,1,2
sid0053,1,2,3,4,1,3,4,1,1,2,3,1,1,3,3,4,2,2,3,1,1,3
sid0054,1,3,4,4,2,2,3,4,1,2,4,1,1,2,3,4,1,3,3,1,2,2
sid0055,1,3,3,1,1,2,3,4,1,3,3,4,1,3,3,4,1,2,3,4,1,3
sid0056,1,3,3,4,2,2,3,1,1,2,3,4,1,2,3,4,1,2,4,4,1,3
sid0057,1,3,3,4,1,2,4,4,1,2,4,4,2,2,4,4,1,3,3,1,1,3
sid0058,1,2,3,4,1,3,4,1,1,2,4,1,1,2,3,4,1,3,4,4,1,3
sid0059,1,2,3,1,2,2,3,1,1,2,3,1,2,2,3,4,1,2,3,4,1,2
sid0060,1,3,3,4,1,2,3,1,1,2,3,1,1,2,3,4,1,2,3,4,1,3
sid0061,1,2,3,4,1,3,4,1,2,2,3,1,2,3,3,1,1,2,3,4,1,3
sid0062,1,3,4,4,2,2,3,4,1,2,4,1,1,3,3,4,1,2,3,4,2,2
sid0063,1,2,3,4,1,2,4,1,2,3,4,4,1,3,3,4,1,3,4,1,2,2
sid0064,1,3,4,4,1,2,3,1,1,2,3,4,1,2,4,1,1,2,4,4,1,2
sid0065,1,2,3,1,2,2,3,4,1,3,4,1,1,2,3,1,1,2,3,1,1,3
sid0066,2,3,3,1,1,2,3,1,2,2,4,4,1,3,3,4,1,3,4,1,2,3
sid0067,1,2,3,1,2,3,4,1,1,2,3,4,2,2,3,1,1,3,3,4,1,2
sid0068,1,3,3,4,2,2,3,4,1,2,3,4,2,2,3,4,1,2,3,4,1,3
sid0069,1,3,4,4,2,2,3,1,1,2,3,1,1,2,3,4,2,3,3,4,2,2
sid0070,2,2,3,4,2,2,3,4,2,3,4,4,2,3,3,4,1,2,3,4,1,2
sid0071,2,2,3,1,1,2,3,4,2,3,3,1,2,3,4,1,1,2,3,4,2,2
sid0072,1,2,3,1,2,3,3,4,2,3,4,1,1,3,3,1,1,2,4,4,1,3
sid0073,1,2,3,4,2,2,4,1,1,3,3,4,1,3,3,1,1,2,3,4,2,2
sid0074,1,2,3,1,2,3,4,1,1,2,3,4,1,2,3,1,1,3,3,4,1,3
sid0075,1,2,3,4,2,3,4,1,1,2,3,1,1,2,3,4,2,3,4,1,2,3
sid0076,1,3,3,1,2,2,3,4,1,3,4,1,2,3,3,4,2,2,3,4,1,3
sid0077,2,3,4,1,1,3,3,4,1,2,3,4,1,3,4,1,1,2,3,1,1,3
sid0078,1,3,4,1,2,3,3,4,1,2,3,4,2,3,3,4,1,3,3,1,1,3
sid0079,1,2,3,4,2,3,4,1,1,2,4,1,1,2,3,1,1,3,4,4,2,3
sid0080,2,2,4,4,2,2,4,1,1,2,3,1,2,3,3,1,1,3,4,1,1,3
sid0081,1,3,3,1,2,2,3,4,1,3,3,1,2,2,4,1,1,3,3,4,2,3
sid0082,1,2,3,4,1,2,4,4,1,2,3,1,1,3,3,4,1,2,3,4,1,3
sid0083,1,3,3,4,2,2,4,1,1,2,3,1,2,3,3,4,1,3,3,4,1,2
sid0084,1,3,3,4,2,2,4,1,1,2,3,4,2,2,4,4,1,3,4,1,2,3
sid0085,1,3,3,4,1,2,3,1,1,2,3,4,1,3,4,1,1,2,3,4,2,3
sid0086,1,2,4,1,2,3,4,4,1,2,3,1,2,2,3,4,1,3,3,1,1,2
sid0087,1,3,4,1,2,3,3,1,1,3,3,1,1,2,3,1,2,3,3,4,2,2
sid0088,1,3,3,1,1,2,4,1,1,2,4,4,1,2,3,4,2,2,3,4,1,3
sid0089,1,2,4,1,2,2,4,1,1,2,3,1,1,3,3,4,1,2,3,4,1,3
sid0090,1,2,3,1,1,3,3,1,2,2,3,4,2,3,4,4,1,3,4,4,1,2
sid0091,1,3,3,1,2,2,3,4,1,3,3,1,2,3,3,4,1,3,4,1,1,3
sid0092,1,3,3,4,1,2,3,1,1,2,3,1,1,2,4,4,1,2,3,4,1,3
sid0093,1,2,4,1,2,2,4,1,2,2,3,4,2,2,4,4,1,3,4,4,2,2
sid0094,1,2,3,1,2,2,3,1,2,2,3,4,2,2,4,4,1,3,4,4,2,3
sid0095,1,3,4,4,2,2,3,4,1,3,3,4,1,3,3,1,1,2,3,4,2,2
sid0096,1,3,3,1,2,3,4,4,1,3,4,1,2,2,4,4,1,3,3,4,1,2
sid0097,1,2,3,4,2,2,3,4,1,2,3,1,1,2,3,4,1,2,3,4,2,2
sid0098,1,2,4,4,2,2,4,1,1,3,4,4,1,2,3,4,1,3,3,4,1,3
sid0099,2,2,3,1,1,2,4,1,2,2,3,1,1,3,3,4,1,2,3,4,2,2
sid0100,1,2,4,1,2,2,4,1,1,3,4,1,2,3,3,4,1,3,3,1,2,2
sid0101,1,2,3,4,2,2,4,4,1,2,3,1,2,3,3,4,1,2,3,4,1,3
sid0102,1,2,3,1,2,2,3,4,1,2,3,1,2,2,3,4,2,2,3,4,1,2
sid0105,1,3,4,4,2,2,3,1,1,2,3,4,2,3,3,1,1,2,3,1,2,2
sid0106,1,2,4,1,2,2,3,4,1,2,3,4,2,3,3,1,1,2,4,4,2,3
