id,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22
sid0051,2,3,3,4,2,2,3,1,1,2,4,4,2,2,4,1,1,2,3,4,1,3
sid0052,1,2,4,4,2,2,3,4,2,2,3,4,1,2,4,1,1,2,3,4,2,2
sid0053,1,2,,,2,2,,,2,2,3,4,1,3,3,1,1,2,3,4,2,2
sid0054,1,2,4,4,2,3,4,4,2,2,4,1,2,3,3,4,1,3,4,4,2,2
sid0055,1,2,3,1,2,2,4,1,1,3,4,4,1,2,3,1,1,2,3,4,1,3
sid0056,1,2,3,1,,,4,1,1,3,4,4,2,3,4,1,1,3,4,4,2,2
sid0057,1,2,4,1,2,3,3,4,1,2,3,1,2,2,3,4,2,3,3,1,1,3
sid0058,1,3,4,4,2,2,3,4,2,2,3,4,2,2,4,1,1,2,3,4,2,2
sid0059,1,2,3,4,2,3,4,1,2,2,4,1,1,2,3,4,1,3,4,1,1,3
sid0060,1,3,4,4,2,2,3,4,2,2,4,1,2,3,3,4,1,2,3,4,1,2
sid0061,2,2,3,4,2,3,4,4,1,3,3,1,2,3,3,1,1,3,4,1,2,2
sid0062,1,2,4,1,1,3,4,1,1,2,3,4,2,2,4,4,2,3,4,4,2,2
sid0063,1,3,4,4,1,3,4,4,2,3,3,1,2,3,3,1,2,3,4,4,2,3
sid0064,2,2,3,1,1,3,3,1,1,3,4,1,1,2,3,4,1,3,4,4,1,3
sid0065,1,3,3,1,2,3,3,4,1,3,3,1,1,2,3,1,2,2,3,4,2,2
sid0066,1,3,4,1,2,2,3,1,1,3,4,1,2,3,4,1,1,2,3,4,2,3
sid0067,1,3,3,1,2,2,3,1,2,2,3,1,2,2,3,4,1,3,3,4,2,3
sid0068,1,2,3,1,2,2,3,1,2,2,4,1,1,2,3,1,2,2,3,4,2,2
sid0069,1,2,4,1,2,2,3,1,1,2,3,4,2,2,3,4,1,3,3,1,2,2
sid0070,1,3,4,4,2,2,4,1,1,2,3,1,1,2,3,4,1,3,4,1,2,2
sid0071,2,2,3,4,2,3,4,4,1,3,3,4,1,2,3,4,1,3,3,4,2,2
sid0072,1,3,4,1,1,3,4,4,2,2,3,1,2,3,3,4,1,2,3,1,1,3
sid0073,1,2,3,1,1,2,4,1,2,3,4,4,2,3,4,1,1,2,3,4,2,2
sid0074,1,2,3,1,1,2,4,1,2,3,3,4,1,2,3,4,2,3,3,4,1,2
sid0075,1,2,4,1,2,2,3,1,2,2,4,4,1,,3,4,1,2,3,1,1,3
sid0076,1,3,4,1,2,2,3,1,1,2,3,1,1,2,3,4,1,3,4,4,1,2
sid0077,1,3,4,1,2,3,4,4,1,2,3,4,1,2,3,4,1,3,4,4,1,3
sid0078,2,3,3,1,1,2,3,1,2,2,4,1,1,2,4,4,1,2,4,4,2,2
sid0079,1,3,3,4,2,3,4,1,1,2,3,4,1,2,3,4,1,3,4,1,2,3
sid0080,2,3,3,4,2,2,3,1,2,2,3,1,1,3,3,4,2,3,3,4,2,3
sid0081,1,3,3,4,2,2,4,1,2,2,4,1,2,3,4,1,1,2,4,1,2,3
sid0082,1,3,3,1,1,2,3,4,1,2,4,4,2,2,4,1,2,3,4,4,2,2
sid0083,1,2,3,1,2,2,3,1,2,3,3,4,1,2,3,1,1,2,3,4,2,2
sid0084,1,3,3,1,1,3,4,4,2,2,3,4,1,2,3,4,1,3,3,4,1,3
sid0085,1,2,3,4,1,3,3,1,1,3,3,4,2,2,4,4,1,3,4,4,2,2
sid0086,1,2,3,1,2,2,4,1,1,3,3,4,1,2,3,4,1,2,3,1,2,3
sid0087,1,2,3,4,2,2,4,1,1,3,4,1,2,2,4,4,1,2,4,4,2,3
sid0088,1,2,4,1,2,2,4,4,1,3,3,4,1,2,3,4,1,3,3,4,1,3
sid0089,2,3,3,1,1,2,3,4,2,3,3,4,1,2,4,1,2,3,3,4,1,3
sid0090,1,3,4,4,2,3,3,4,1,2,4,4,1,2,3,4,1,3,4,4,2,3
sid0091,1,3,3,1,2,3,4,4,1,2,3,4,1,2,3,1,1,2,3,4,1,3
sid0092,2,2,3,4,1,3,3,4,2,2,3,1,1,3,3,4,2,3,4,4,2,3
sid0093,1,2,4,1,2,2,3,1,1,2,3,4,1,2,4,4,1,3,4,4,1,2
sid0094,1,3,4,4,2,3,4,1,1,2,3,4,2,3,3,1,1,2,4,4,2,2
sid0095,1,2,4,4,2,2,3,1,1,3,3,4,1,2,3,4,1,3,4,4,2,2
sid0096,2,3,3,1,1,2,3,4,2,2,4,1,2,3,3,1,1,3,4,4,2,2
sid0097,1,3,3,4,2,2,3,1,1,2,4,1,2,2,4,4,1,2,4,1,2,2
sid0098,1,3,3,4,2,3,4,1,1,2,3,4,1,2,3,1,1,2,3,4,1,3
sid0099,1,3,4,1,2,2,3,1,1,2,3,1,1,3,3,4,2,3,4,4,2,3
sid0100,1,2,3,1,2,3,4,4,2,2,3,4,1,2,4,4,1,3,4,4,1,2
sid0101,1,2,3,4,1,2,4,1,2,2,3,4,2,3,3,1,1,2,4,4,2,2
sid0102,1,3,4,1,2,2,3,4,1,2,3,4,1,2,3,4,1,3,4,4,2,2
sid0103,1,3,4,4,2,2,3,4,2,2,4,1,2,3,3,1,1,3,4,4,2,2
sid0104,1,3,4,1,1,3,4,4,2,2,4,1,2,2,4,4,1,2,4,1,2,2
