id,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22
sid0001,1,2,3,4,2,3,3,1,2,2,4,1,1,2,3,4,1,2,3,1,2,2
sid0002,1,3,3,4,2,2,3,1,2,2,4,1,1,2,3,4,1,3,4,4,1,2
sid0003,,,3,4,2,3,3,1,1,2,3,4,2,2,4,4,1,3,4,1,2,2
sid0004,1,2,3,,,2,3,,,2,3,1,1,3,3,4,1,3,3,4,1,3
sid0005,1,3,3,4,2,2,3,4,2,3,3,1,2,2,3,4,1,2,3,4,1,3
sid0006,1,3,3,4,,2,3,4,2,3,3,4,1,2,3,4,1,2,4,4,1,3
sid0007,1,3,4,4,1,2,3,4,1,2,3,1,2,2,4,4,1,2,4,4,1,2
sid0008,1,2,3,1,1,3,3,4,1,2,3,1,1,3,3,4,1,2,3,4,1,3
sid0009,1,3,3,4,2,3,3,1,2,2,4,1,2,3,3,4,1,2,3,1,1,3
sid0010,2,2,3,1,1,2,4,4,1,2,3,4,1,2,3,4,1,3,3,4,2,2
sid0011,1,2,3,4,2,3,3,4,1,2,3,1,1,2,3,4,1,2,3,4,1,2
sid0012,1,3,3,4,2,2,3,4,1,2,3,4,2,3,3,4,1,2,3,1,2,2
sid0013,1,3,3,4,1,2,3,1,1,2,3,1,1,2,3,4,1,2,3,4,2,3
sid0014,1,3,3,4,1,2,3,1,1,3,3,4,2,2,4,4,1,2,3,1,2,3
sid0015,1,3,4,1,1,3,3,1,1,2,3,1,1,2,3,1,1,2,3,4,1,2
sid0016,1,2,3,4,2,2,3,4,1,2,3,1,1,2,3,4,1,2,4,4,1,3
sid0017,1,2,4,1,2,2,3,4,1,2,4,4,2,3,3,4,1,2,4,4,1,3
sid0018,1,2,3,4,2,2,3,4,1,2,3,1,2,3,3,1,1,2,3,1,2,3
sid0019,1,2,4,4,1,2,3,1,1,2,3,1,2,3,3,1,1,3,3,4,1,3
sid0020,1,2,3,4,1,2,4,4,1,3,3,4,1,2,3,4,1,2,3,4,1,3
sid0021,1,3,3,1,1,2,3,1,1,2,4,1,2,3,3,4,1,3,4,1,2,3
sid0022,1,2,3,4,2,2,3,4,1,2,3,4,2,3,3,4,1,2,3,1,1,2
sid0023,1,2,3,4,1,2,3,4,1,2,3,1,2,2,3,4,1,3,4,4,2,3
sid0024,1,2,3,1,1,2,3,4,1,3,4,4,2,3,3,1,1,2,4,4,1,3
sid0025,1,3,3,4,2,2,3,4,1,2,3,1,2,2,3,1,1,3,3,4,2,3
sid0026,1,3,3,1,2,3,3,1,1,2,4,1,1,2,3,1,2,2,3,1,1,3
sid0027,1,2,3,4,2,3,4,4,1,2,3,4,2,3,3,1,1,3,4,1,2,3
sid0028,1,2,3,4,2,3,3,4,1,2,4,1,2,3,4,4,1,3,3,4,1,3
sid0029,1,3,4,4,1,2,3,4,1,2,4,1,1,3,3,4,1,3,3,4,1,3
sid0030,1,3,3,4,1,2,3,1,1,3,3,1,2,3,3,4,2,3,3,4,2,3
sid0031,1,3,4,4,1,2,3,1,1,2,3,1,1,2,3,4,1,2,3,4,1,3
sid0032,1,3,4,4,1,2,3,4,1,3,3,4,2,2,4,4,1,2,3,1,1,3
sid0033,1,2,3,1,2,2,3,1,1,2,4,1,1,2,3,1,1,3,4,1,2,3
sid0034,1,3,3,1,2,3,4,4,1,2,3,4,1,2,3,4,1,3,4,1,1,3
sid0035,1,3,4,4,1,2,3,4,1,3,3,1,2,3,3,4,1,2,3,4,2,2
sid0036,1,3,3,4,1,2,3,4,2,3,3,4,1,2,4,4,1,3,3,4,2,2
sid0037,2,3,3,4,2,2,3,4,1,3,3,1,1,2,4,4,1,3,3,1,1,3
sid0038,1,2,3,1,1,2,4,1,1,2,3,4,2,2,3,4,1,2,4,4,2,2
sid0039,2,3,3,4,1,2,3,4,1,3,3,4,2,3,3,4,1,3,4,4,1,3
sid0040,1,3,3,4,1,2,3,1,1,2,3,4,1,2,3,4,2,3,3,4,2,2
sid0041,1,2,3,1,2,2,3,4,1,3,4,1,2,2,3,1,1,3,3,4,2,3
sid0042,1,2,4,1,1,3,3,1,1,2,3,1,1,2,3,4,1,2,4,4,1,2
sid0043,1,2,3,4,2,2,3,4,1,3,4,1,2,2,4,1,1,2,4,4,2,2
sid0044,1,3,3,4,1,3,3,4,2,2,3,1,2,3,3,4,1,3,4,4,1,2
sid0045,1,3,4,4,1,2,3,4,2,3,4,1,2,3,4,1,1,3,4,1,1,3
