"id","question","answer"
"sid0001","Q01",1
"sid0001","Q02",0
"sid0001","Q03",1
"sid0001","Q04",0
"sid0001","Q05",0
"sid0001","Q06",1
"sid0001","Q07",0
"sid0001","Q08",1
"sid0001","Q09",1
"sid0001","Q10",1
"sid0001","Q11",1
"sid0001","Q12",0
"sid0001","Q13",1
"sid0001","Q14",1
"sid0001","Q15",1
"sid0001","Q16",1
"sid0001","Q17",1
"sid0001","Q18",1
"sid0001","Q19",1
"sid0001","Q20",1
"sid0001","Q21",0
"sid0001","Q22",1
"sid0002","Q01",1
"sid0002","Q02",1
"sid0002","Q03",NA
"sid0002","Q04",NA
"sid0002","Q05",1
"sid0002","Q06",0
"sid0002","Q07",1
"sid0002","Q08",1
"sid0002","Q09",0
"sid0002","Q10",0
"sid0002","Q11",1
"sid0002","Q12",0
"sid0002","Q13",0
"sid0002","Q14",1
"sid0002","Q15",0
"sid0002","Q16",1
"sid0002","Q17",1
"sid0002","Q18",0
"sid0002","Q19",0
"sid0002","Q20",0
"sid0002","Q21",0
"sid0002","Q22",0
"sid0003","Q01",1
"sid0003","Q02",0
"sid0003","Q03",0
"sid0003","Q04",0
"sid0003","Q05",1
"sid0003","Q06",1
"sid0003","Q07",1
"sid0003","Q08",0
"sid0003","Q09",1
"sid0003","Q10",0
"sid0003","Q11",1
"sid0003","Q12",1
"sid0003","Q13",0
"sid0003","Q14",0
"sid0003","Q15",1
"sid0003","Q16",0
"sid0003","Q17",1
"sid0003","Q18",0
"sid0003","Q19",0
"sid0003","Q20",1
"sid0003","Q21",0
"sid0003","Q22",1
"sid0004","Q01",1
"sid0004","Q02",1
"sid0004","Q03",0
"sid0004","Q04",0
"sid0004","Q05",NA
"sid0004","Q06",1
"sid0004","Q07",1
"sid0004","Q08",1
"sid0004","Q09",0
"sid0004","Q10",0
"sid0004","Q11",1
"sid0004","Q12",0
"sid0004","Q13",1
"sid0004","Q14",1
"sid0004","Q15",1
"sid0004","Q16",1
"sid0004","Q17",1
"sid0004","Q18",0
"sid0004","Q19",0
"sid0004","Q20",0
"sid0004","Q21",0
"sid0004","Q22",1
"sid0005","Q01",1
"sid0005","Q02",0
"sid0005","Q03",1
"sid0005","Q04",1
"sid0005","Q05",1
"sid0005","Q06",NA
"sid0005","Q07",1
"sid0005","Q08",NA
"sid0005","Q09",1
"sid0005","Q10",0
"sid0005","Q11",1
"sid0005","Q12",1
"sid0005","Q13",0
"sid0005","Q14",0
"sid0005","Q15",1
"sid0005","Q16",1
"sid0005","Q17",0
"sid0005","Q18",0
"sid0005","Q19",1
"sid0005","Q20",1
"sid0005","Q21",1
"sid0005","Q22",1
"sid0006","Q01",1
"sid0006","Q02",0
"sid0006","Q03",1
"sid0006","Q04",0
"sid0006","Q05",0
"sid0006","Q06",1
"sid0006","Q07",1
"sid0006","Q08",NA
"sid0006","Q09",1
"sid0006","Q10",1
"sid0006","Q11",0
"sid0006","Q12",0
"sid0006","Q13",1
"sid0006","Q14",1
"sid0006","Q15",1
"sid0006","Q16",1
"sid0006","Q17",1
"sid0006","Q18",0
"sid0006","Q19",0
"sid0006","Q20",1
"sid0006","Q21",0
"sid0006","Q22",1
"sid0007","Q01",1
"sid0007","Q02",0
"sid0007","Q03",0
"sid0007","Q04",1
"sid0007","Q05",1
"sid0007","Q06",1
"sid0007","Q07",1
"sid0007","Q08",1
"sid0007","Q09",1
"sid0007","Q10",0
"sid0007","Q11",1
"sid0007","Q12",0
"sid0007","Q13",0
"sid0007","Q14",0
"sid0007","Q15",1
"sid0007","Q16",1
"sid0007","Q17",1
"sid0007","Q18",0
"sid0007","Q19",0
"sid0007","Q20",1
"sid0007","Q21",1
"sid0007","Q22",NA
"sid0008","Q01",1
"sid0008","Q02",0
"sid0008","Q03",1
"sid0008","Q04",0
"sid0008","Q05",0
"sid0008","Q06",1
"sid0008","Q07",1
"sid0008","Q08",0
"sid0008","Q09",1
"sid0008","Q10",1
"sid0008","Q11",1
"sid0008","Q12",0
"sid0008","Q13",0
"sid0008","Q14",0
"sid0008","Q15",1
"sid0008","Q16",1
"sid0008","Q17",1
"sid0008","Q18",0
"sid0008","Q19",1
"sid0008","Q20",1
"sid0008","Q21",1
"sid0008","Q22",1
"sid0009","Q01",1
"sid0009","Q02",NA
"sid0009","Q03",NA
"sid0009","Q04",0
"sid0009","Q05",1
"sid0009","Q06",1
"sid0009","Q07",0
"sid0009","Q08",0
"sid0009","Q09",0
"sid0009","Q10",1
"sid0009","Q11",1
"sid0009","Q12",1
"sid0009","Q13",1
"sid0009","Q14",0
"sid0009","Q15",1
"sid0009","Q16",0
"sid0009","Q17",1
"sid0009","Q18",0
"sid0009","Q19",1
"sid0009","Q20",0
"sid0009","Q21",0
"sid0009","Q22",1
"sid0010","Q01",1
"sid0010","Q02",1
"sid0010","Q03",0
"sid0010","Q04",0
"sid0010","Q05",0
"sid0010","Q06",1
"sid0010","Q07",1
"sid0010","Q08",0
"sid0010","Q09",0
"sid0010","Q10",1
"sid0010","Q11",1
"sid0010","Q12",1
"sid0010","Q13",0
"sid0010","Q14",0
"sid0010","Q15",0
"sid0010","Q16",0
"sid0010","Q17",1
"sid0010","Q18",1
"sid0010","Q19",1
"sid0010","Q20",1
"sid0010","Q21",0
"sid0010","Q22",1
"sid0011","Q01",0
"sid0011","Q02",0
"sid0011","Q03",1
"sid0011","Q04",1
"sid0011","Q05",0
"sid0011","Q06",1
"sid0011","Q07",1
"sid0011","Q08",1
"sid0011","Q09",1
"sid0011","Q10",0
"sid0011","Q11",0
"sid0011","Q12",1
"sid0011","Q13",1
"sid0011","Q14",1
"sid0011","Q15",0
"sid0011","Q16",0
"sid0011","Q17",0
"sid0011","Q18",0
"sid0011","Q19",1
"sid0011","Q20",1
"sid0011","Q21",1
"sid0011","Q22",NA
"sid0012","Q01",1
"sid0012","Q02",1
"sid0012","Q03",1
"sid0012","Q04",1
"sid0012","Q05",1
"sid0012","Q06",0
"sid0012","Q07",1
"sid0012","Q08",0
"sid0012","Q09",0
"sid0012","Q10",0
"sid0012","Q11",0
"sid0012","Q12",0
"sid0012","Q13",0
"sid0012","Q14",1
"sid0012","Q15",0
"sid0012","Q16",0
"sid0012","Q17",1
"sid0012","Q18",0
"sid0012","Q19",0
"sid0012","Q20",0
"sid0012","Q21",0
"sid0012","Q22",1
"sid0013","Q01",0
"sid0013","Q02",1
"sid0013","Q03",1
"sid0013","Q04",1
"sid0013","Q05",0
"sid0013","Q06",1
"sid0013","Q07",0
"sid0013","Q08",1
"sid0013","Q09",1
"sid0013","Q10",0
"sid0013","Q11",0
"sid0013","Q12",0
"sid0013","Q13",0
"sid0013","Q14",1
"sid0013","Q15",0
"sid0013","Q16",1
"sid0013","Q17",1
"sid0013","Q18",0
"sid0013","Q19",1
"sid0013","Q20",0
"sid0013","Q21",1
"sid0013","Q22",0
"sid0014","Q01",1
"sid0014","Q02",0
"sid0014","Q03",1
"sid0014","Q04",1
"sid0014","Q05",0
"sid0014","Q06",1
"sid0014","Q07",0
"sid0014","Q08",0
"sid0014","Q09",1
"sid0014","Q10",0
"sid0014","Q11",0
"sid0014","Q12",1
"sid0014","Q13",1
"sid0014","Q14",1
"sid0014","Q15",1
"sid0014","Q16",1
"sid0014","Q17",1
"sid0014","Q18",1
"sid0014","Q19",0
"sid0014","Q20",1
"sid0014","Q21",1
"sid0014","Q22",1
"sid0015","Q01",1
"sid0015","Q02",0
"sid0015","Q03",0
"sid0015","Q04",0
"sid0015","Q05",1
"sid0015","Q06",1
"sid0015","Q07",0
"sid0015","Q08",0
"sid0015","Q09",1
"sid0015","Q10",0
"sid0015","Q11",1
"sid0015","Q12",1
"sid0015","Q13",0
"sid0015","Q14",1
"sid0015","Q15",0
"sid0015","Q16",1
"sid0015","Q17",1
"sid0015","Q18",0
"sid0015","Q19",0
"sid0015","Q20",1
"sid0015","Q21",1
"sid0015","Q22",0
"sid0016","Q01",1
"sid0016","Q02",0
"sid0016","Q03",1
"sid0016","Q04",1
"sid0016","Q05",0
"sid0016","Q06",1
"sid0016","Q07",1
"sid0016","Q08",0
"sid0016","Q09",1
"sid0016","Q10",0
"sid0016","Q11",0
"sid0016","Q12",1
"sid0016","Q13",0
"sid0016","Q14",0
"sid0016","Q15",1
"sid0016","Q16",1
"sid0016","Q17",0
"sid0016","Q18",0
"sid0016","Q19",1
"sid0016","Q20",0
"sid0016","Q21",0
"sid0016","Q22",1
"sid0017","Q01",1
"sid0017","Q02",0
"sid0017","Q03",1
"sid0017","Q04",0
"sid0017","Q05",0
"sid0017","Q06",0
"sid0017","Q07",1
"sid0017","Q08",0
"sid0017","Q09",1
"sid0017","Q10",1
"sid0017","Q11",1
"sid0017","Q12",1
"sid0017","Q13",1
"sid0017","Q14",1
"sid0017","Q15",1
"sid0017","Q16",1
"sid0017","Q17",1
"sid0017","Q18",1
"sid0017","Q19",1
"sid0017","Q20",1
"sid0017","Q21",0
"sid0017","Q22",0
"sid0018","Q01",1
"sid0018","Q02",1
"sid0018","Q03",1
"sid0018","Q04",0
"sid0018","Q05",1
"sid0018","Q06",0
"sid0018","Q07",1
"sid0018","Q08",1
"sid0018","Q09",1
"sid0018","Q10",0
"sid0018","Q11",1
"sid0018","Q12",0
"sid0018","Q13",0
"sid0018","Q14",0
"sid0018","Q15",1
"sid0018","Q16",0
"sid0018","Q17",0
"sid0018","Q18",0
"sid0018","Q19",1
"sid0018","Q20",0
"sid0018","Q21",0
"sid0018","Q22",0
"sid0019","Q01",1
"sid0019","Q02",0
"sid0019","Q03",1
"sid0019","Q04",1
"sid0019","Q05",1
"sid0019","Q06",0
"sid0019","Q07",1
"sid0019","Q08",1
"sid0019","Q09",0
"sid0019","Q10",1
"sid0019","Q11",1
"sid0019","Q12",0
"sid0019","Q13",0
"sid0019","Q14",0
"sid0019","Q15",1
"sid0019","Q16",0
"sid0019","Q17",1
"sid0019","Q18",0
"sid0019","Q19",0
"sid0019","Q20",1
"sid0019","Q21",0
"sid0019","Q22",0
"sid0020","Q01",0
"sid0020","Q02",0
"sid0020","Q03",1
"sid0020","Q04",1
"sid0020","Q05",0
"sid0020","Q06",1
"sid0020","Q07",1
"sid0020","Q08",1
"sid0020","Q09",0
"sid0020","Q10",1
"sid0020","Q11",1
"sid0020","Q12",1
"sid0020","Q13",0
"sid0020","Q14",0
"sid0020","Q15",1
"sid0020","Q16",1
"sid0020","Q17",1
"sid0020","Q18",1
"sid0020","Q19",1
"sid0020","Q20",1
"sid0020","Q21",1
"sid0020","Q22",0
"sid0021","Q01",1
"sid0021","Q02",0
"sid0021","Q03",1
"sid0021","Q04",1
"sid0021","Q05",0
"sid0021","Q06",1
"sid0021","Q07",0
"sid0021","Q08",0
"sid0021","Q09",0
"sid0021","Q10",1
"sid0021","Q11",0
"sid0021","Q12",1
"sid0021","Q13",0
"sid0021","Q14",0
"sid0021","Q15",1
"sid0021","Q16",0
"sid0021","Q17",1
"sid0021","Q18",1
"sid0021","Q19",1
"sid0021","Q20",1
"sid0021","Q21",0
"sid0021","Q22",0
"sid0022","Q01",1
"sid0022","Q02",1
"sid0022","Q03",1
"sid0022","Q04",0
"sid0022","Q05",1
"sid0022","Q06",0
"sid0022","Q07",1
"sid0022","Q08",1
"sid0022","Q09",1
"sid0022","Q10",1
"sid0022","Q11",1
"sid0022","Q12",0
"sid0022","Q13",1
"sid0022","Q14",1
"sid0022","Q15",0
"sid0022","Q16",1
"sid0022","Q17",1
"sid0022","Q18",1
"sid0022","Q19",1
"sid0022","Q20",1
"sid0022","Q21",1
"sid0022","Q22",0
"sid0023","Q01",1
"sid0023","Q02",0
"sid0023","Q03",1
"sid0023","Q04",1
"sid0023","Q05",0
"sid0023","Q06",1
"sid0023","Q07",0
"sid0023","Q08",1
"sid0023","Q09",1
"sid0023","Q10",1
"sid0023","Q11",1
"sid0023","Q12",0
"sid0023","Q13",0
"sid0023","Q14",1
"sid0023","Q15",1
"sid0023","Q16",1
"sid0023","Q17",1
"sid0023","Q18",0
"sid0023","Q19",0
"sid0023","Q20",0
"sid0023","Q21",1
"sid0023","Q22",0
"sid0024","Q01",1
"sid0024","Q02",0
"sid0024","Q03",0
"sid0024","Q04",0
"sid0024","Q05",0
"sid0024","Q06",1
"sid0024","Q07",1
"sid0024","Q08",1
"sid0024","Q09",1
"sid0024","Q10",1
"sid0024","Q11",1
"sid0024","Q12",0
"sid0024","Q13",0
"sid0024","Q14",0
"sid0024","Q15",1
"sid0024","Q16",0
"sid0024","Q17",1
"sid0024","Q18",1
"sid0024","Q19",1
"sid0024","Q20",0
"sid0024","Q21",0
"sid0024","Q22",0
"sid0025","Q01",1
"sid0025","Q02",1
"sid0025","Q03",1
"sid0025","Q04",1
"sid0025","Q05",0
"sid0025","Q06",0
"sid0025","Q07",0
"sid0025","Q08",0
"sid0025","Q09",1
"sid0025","Q10",1
"sid0025","Q11",1
"sid0025","Q12",1
"sid0025","Q13",1
"sid0025","Q14",0
"sid0025","Q15",1
"sid0025","Q16",1
"sid0025","Q17",1
"sid0025","Q18",1
"sid0025","Q19",1
"sid0025","Q20",1
"sid0025","Q21",0
"sid0025","Q22",1
"sid0026","Q01",1
"sid0026","Q02",1
"sid0026","Q03",1
"sid0026","Q04",1
"sid0026","Q05",1
"sid0026","Q06",0
"sid0026","Q07",0
"sid0026","Q08",0
"sid0026","Q09",0
"sid0026","Q10",0
"sid0026","Q11",0
"sid0026","Q12",1
"sid0026","Q13",1
"sid0026","Q14",1
"sid0026","Q15",1
"sid0026","Q16",1
"sid0026","Q17",0
"sid0026","Q18",1
"sid0026","Q19",1
"sid0026","Q20",1
"sid0026","Q21",1
"sid0026","Q22",0
"sid0027","Q01",1
"sid0027","Q02",0
"sid0027","Q03",1
"sid0027","Q04",0
"sid0027","Q05",1
"sid0027","Q06",1
"sid0027","Q07",1
"sid0027","Q08",0
"sid0027","Q09",1
"sid0027","Q10",0
"sid0027","Q11",1
"sid0027","Q12",1
"sid0027","Q13",0
"sid0027","Q14",0
"sid0027","Q15",1
"sid0027","Q16",1
"sid0027","Q17",0
"sid0027","Q18",0
"sid0027","Q19",1
"sid0027","Q20",1
"sid0027","Q21",1
"sid0027","Q22",0
"sid0028","Q01",1
"sid0028","Q02",0
"sid0028","Q03",0
"sid0028","Q04",0
"sid0028","Q05",0
"sid0028","Q06",1
"sid0028","Q07",1
"sid0028","Q08",1
"sid0028","Q09",1
"sid0028","Q10",1
"sid0028","Q11",1
"sid0028","Q12",1
"sid0028","Q13",1
"sid0028","Q14",1
"sid0028","Q15",0
"sid0028","Q16",1
"sid0028","Q17",1
"sid0028","Q18",0
"sid0028","Q19",0
"sid0028","Q20",1
"sid0028","Q21",0
"sid0028","Q22",1
"sid0029","Q01",1
"sid0029","Q02",1
"sid0029","Q03",1
"sid0029","Q04",1
"sid0029","Q05",1
"sid0029","Q06",0
"sid0029","Q07",0
"sid0029","Q08",0
"sid0029","Q09",0
"sid0029","Q10",1
"sid0029","Q11",1
"sid0029","Q12",0
"sid0029","Q13",0
"sid0029","Q14",1
"sid0029","Q15",0
"sid0029","Q16",1
"sid0029","Q17",1
"sid0029","Q18",0
"sid0029","Q19",0
"sid0029","Q20",0
"sid0029","Q21",0
"sid0029","Q22",0
"sid0030","Q01",1
"sid0030","Q02",0
"sid0030","Q03",0
"sid0030","Q04",0
"sid0030","Q05",0
"sid0030","Q06",1
"sid0030","Q07",0
"sid0030","Q08",1
"sid0030","Q09",1
"sid0030","Q10",1
"sid0030","Q11",1
"sid0030","Q12",1
"sid0030","Q13",0
"sid0030","Q14",0
"sid0030","Q15",1
"sid0030","Q16",1
"sid0030","Q17",1
"sid0030","Q18",1
"sid0030","Q19",1
"sid0030","Q20",1
"sid0030","Q21",0
"sid0030","Q22",1
"sid0031","Q01",1
"sid0031","Q02",1
"sid0031","Q03",1
"sid0031","Q04",0
"sid0031","Q05",1
"sid0031","Q06",1
"sid0031","Q07",0
"sid0031","Q08",0
"sid0031","Q09",1
"sid0031","Q10",0
"sid0031","Q11",1
"sid0031","Q12",1
"sid0031","Q13",1
"sid0031","Q14",1
"sid0031","Q15",1
"sid0031","Q16",0
"sid0031","Q17",0
"sid0031","Q18",0
"sid0031","Q19",1
"sid0031","Q20",1
"sid0031","Q21",1
"sid0031","Q22",1
"sid0032","Q01",1
"sid0032","Q02",0
"sid0032","Q03",0
"sid0032","Q04",0
"sid0032","Q05",0
"sid0032","Q06",1
"sid0032","Q07",1
"sid0032","Q08",1
"sid0032","Q09",1
"sid0032","Q10",0
"sid0032","Q11",1
"sid0032","Q12",1
"sid0032","Q13",0
"sid0032","Q14",1
"sid0032","Q15",0
"sid0032","Q16",1
"sid0032","Q17",1
"sid0032","Q18",1
"sid0032","Q19",1
"sid0032","Q20",0
"sid0032","Q21",1
"sid0032","Q22",1
"sid0033","Q01",1
"sid0033","Q02",1
"sid0033","Q03",0
"sid0033","Q04",0
"sid0033","Q05",0
"sid0033","Q06",0
"sid0033","Q07",1
"sid0033","Q08",1
"sid0033","Q09",0
"sid0033","Q10",1
"sid0033","Q11",1
"sid0033","Q12",1
"sid0033","Q13",0
"sid0033","Q14",1
"sid0033","Q15",1
"sid0033","Q16",1
"sid0033","Q17",1
"sid0033","Q18",0
"sid0033","Q19",0
"sid0033","Q20",0
"sid0033","Q21",0
"sid0033","Q22",0
"sid0034","Q01",1
"sid0034","Q02",0
"sid0034","Q03",1
"sid0034","Q04",0
"sid0034","Q05",0
"sid0034","Q06",1
"sid0034","Q07",0
"sid0034","Q08",0
"sid0034","Q09",1
"sid0034","Q10",0
"sid0034","Q11",0
"sid0034","Q12",0
"sid0034","Q13",1
"sid0034","Q14",1
"sid0034","Q15",1
"sid0034","Q16",1
"sid0034","Q17",0
"sid0034","Q18",1
"sid0034","Q19",1
"sid0034","Q20",0
"sid0034","Q21",0
"sid0034","Q22",1
"sid0035","Q01",1
"sid0035","Q02",1
"sid0035","Q03",1
"sid0035","Q04",0
"sid0035","Q05",0
"sid0035","Q06",1
"sid0035","Q07",1
"sid0035","Q08",0
"sid0035","Q09",0
"sid0035","Q10",0
"sid0035","Q11",0
"sid0035","Q12",0
"sid0035","Q13",1
"sid0035","Q14",1
"sid0035","Q15",1
"sid0035","Q16",1
"sid0035","Q17",1
"sid0035","Q18",0
"sid0035","Q19",0
"sid0035","Q20",0
"sid0035","Q21",0
"sid0035","Q22",1
"sid0036","Q01",1
"sid0036","Q02",0
"sid0036","Q03",0
"sid0036","Q04",1
"sid0036","Q05",0
"sid0036","Q06",1
"sid0036","Q07",0
"sid0036","Q08",0
"sid0036","Q09",1
"sid0036","Q10",1
"sid0036","Q11",1
"sid0036","Q12",0
"sid0036","Q13",0
"sid0036","Q14",1
"sid0036","Q15",0
"sid0036","Q16",0
"sid0036","Q17",0
"sid0036","Q18",0
"sid0036","Q19",1
"sid0036","Q20",1
"sid0036","Q21",1
"sid0036","Q22",1
"sid0037","Q01",1
"sid0037","Q02",1
"sid0037","Q03",1
"sid0037","Q04",0
"sid0037","Q05",1
"sid0037","Q06",1
"sid0037","Q07",0
"sid0037","Q08",0
"sid0037","Q09",0
"sid0037","Q10",0
"sid0037","Q11",1
"sid0037","Q12",1
"sid0037","Q13",0
"sid0037","Q14",0
"sid0037","Q15",1
"sid0037","Q16",1
"sid0037","Q17",1
"sid0037","Q18",0
"sid0037","Q19",0
"sid0037","Q20",1
"sid0037","Q21",1
"sid0037","Q22",0
"sid0038","Q01",1
"sid0038","Q02",1
"sid0038","Q03",1
"sid0038","Q04",0
"sid0038","Q05",1
"sid0038","Q06",0
"sid0038","Q07",1
"sid0038","Q08",1
"sid0038","Q09",0
"sid0038","Q10",0
"sid0038","Q11",1
"sid0038","Q12",1
"sid0038","Q13",0
"sid0038","Q14",0
"sid0038","Q15",1
"sid0038","Q16",0
"sid0038","Q17",1
"sid0038","Q18",0
"sid0038","Q19",0
"sid0038","Q20",1
"sid0038","Q21",0
"sid0038","Q22",1
"sid0039","Q01",1
"sid0039","Q02",0
"sid0039","Q03",1
"sid0039","Q04",0
"sid0039","Q05",0
"sid0039","Q06",1
"sid0039","Q07",1
"sid0039","Q08",1
"sid0039","Q09",1
"sid0039","Q10",0
"sid0039","Q11",1
"sid0039","Q12",1
"sid0039","Q13",1
"sid0039","Q14",1
"sid0039","Q15",1
"sid0039","Q16",1
"sid0039","Q17",0
"sid0039","Q18",1
"sid0039","Q19",0
"sid0039","Q20",1
"sid0039","Q21",0
"sid0039","Q22",1
"sid0040","Q01",1
"sid0040","Q02",1
"sid0040","Q03",1
"sid0040","Q04",1
"sid0040","Q05",1
"sid0040","Q06",0
"sid0040","Q07",0
"sid0040","Q08",0
"sid0040","Q09",1
"sid0040","Q10",1
"sid0040","Q11",0
"sid0040","Q12",0
"sid0040","Q13",1
"sid0040","Q14",1
"sid0040","Q15",1
"sid0040","Q16",1
"sid0040","Q17",1
"sid0040","Q18",1
"sid0040","Q19",1
"sid0040","Q20",1
"sid0040","Q21",1
"sid0040","Q22",1
"sid0041","Q01",0
"sid0041","Q02",0
"sid0041","Q03",1
"sid0041","Q04",1
"sid0041","Q05",0
"sid0041","Q06",0
"sid0041","Q07",1
"sid0041","Q08",1
"sid0041","Q09",1
"sid0041","Q10",1
"sid0041","Q11",1
"sid0041","Q12",1
"sid0041","Q13",0
"sid0041","Q14",0
"sid0041","Q15",1
"sid0041","Q16",1
"sid0041","Q17",0
"sid0041","Q18",1
"sid0041","Q19",1
"sid0041","Q20",0
"sid0041","Q21",0
"sid0041","Q22",1
"sid0042","Q01",1
"sid0042","Q02",1
"sid0042","Q03",0
"sid0042","Q04",0
"sid0042","Q05",1
"sid0042","Q06",0
"sid0042","Q07",1
"sid0042","Q08",1
"sid0042","Q09",0
"sid0042","Q10",1
"sid0042","Q11",1
"sid0042","Q12",1
"sid0042","Q13",0
"sid0042","Q14",0
"sid0042","Q15",1
"sid0042","Q16",1
"sid0042","Q17",0
"sid0042","Q18",0
"sid0042","Q19",1
"sid0042","Q20",1
"sid0042","Q21",0
"sid0042","Q22",1
"sid0043","Q01",0
"sid0043","Q02",0
"sid0043","Q03",1
"sid0043","Q04",0
"sid0043","Q05",1
"sid0043","Q06",1
"sid0043","Q07",1
"sid0043","Q08",1
"sid0043","Q09",1
"sid0043","Q10",1
"sid0043","Q11",1
